titulo,cluster,PCA1,PCA2
Barra elimina o Internacional na primeira fase da Copa do Brasil Sub-20,7,-0.04489549662793753,-0.19344565289586918
"Diniz elogia Corinthians, mas pede atenção com o Estudiantes na volta: ""Sabe jogar fora de casa""",2,0.5537545218015365,0.3289527072429232
"Nem Fábio, nem Rafael: veja último goleiro do Cruzeiro convocado para Seleção antes de Otávio",6,-0.04645050190448445,-0.12948966141395485
Nicolas passa por cirurgia e deve ficar no mínimo três meses afastado do São Paulo,5,-0.06210916728329476,-0.11063332333357213
Criciúma bate o Cascavel e garante classificação na Copa do Brasil Sub-20,7,-0.04625432577352434,-0.17869007026302416
Bayern de Munique x Bodo/Glimt na Champions League: onde assistir ao vivo e horário,3,-0.024841508345994263,0.0020351281388323933
"Em bate-boca com Neymar, torcedor do Atlético-MG avisa: ""Vai ter jogo de volta""; veja discussão",2,0.053692703728063125,-0.0016839276211357524
São Paulo x Santo Antônio-MS na Copa do Brasil Sub-20: onde assistir ao vivo e horário,7,-0.02975674301271777,-0.1328327787801093
Cano tem suspeita de lesão e vira dúvida no Fluminense,9,0.07954703234837512,0.013225501260122357
"Haaland se rende a jovem de 18 anos de R$ 600 milhões apontado como ""novo Rodri"": ""Uma joia""",8,-0.12530358453062404,0.0328141993300386
"Capitão do Barcelona, Raphinha revela conexão especial com Lamine Yamal: ""Sei quando ele sai da partida""",3,-0.03634632660813396,-0.07404763407495786
Análise: Corinthians volta vivo com empate em jogo que pareceu mais difícil do que foi,2,0.49726465926716396,0.3238846408357484
Operário-PR supera a Chapecoense nos pênaltis e avança na Copa do Brasil Sub-20,7,-0.042835477983336145,-0.16502087892617787
Raphinha tem início mais goleador no Barcelona em quase 70 anos,3,-0.07382069223567572,-0.07107231385590176
Escalação do Flamengo: Jardim avalia desgaste e prepara equipe para encarar o Del Valle na altitude,9,0.14794928388188514,0.026431830705684743
"Portuguesa acerta a contratação do atacante Romarinho, ex-Corinthians",2,0.03454647434855265,0.05128587408344052
Olho neles: Del Valle tem cinco remanescentes de time campeão contra o Flamengo; saiba quem são,9,0.1627833333557079,0.06441187485958211
Análise: Atlético-MG desmorona no 2º tempo e se complica por vaga na semi da Sul-Americana,2,0.1454056736877049,0.07151527890213813
Governo multa concessionária por gestão do Maracanã; Fla-Flu recorre,5,-0.04659214748692207,-0.0320859387155595
"Leila defende Paulinho e reforça apoio a Abel no Palmeiras: ""Incontestável""",4,0.009149064141070903,-0.13080947160394577
"Abel critica regra do limite de jogos para mudar de clube no Brasileirão: ""Vocês acham justo?""",4,-0.009421222809373162,-0.1339151150633078
"Pai de Jair Cunha se emociona com filho na seleção brasileira: ""Ficha não cai""",0,-0.0734738703886297,-0.15220078818996666
Estudiantes alega ato obsceno e pede suspensão de Memphis no jogo de volta contra o Corinthians,2,0.35293670020943385,0.23802203061992905
Nonato alcança estatística rara no Fluminense com gol na Libertadores,9,0.04397016811709824,0.005450937152480544
Medina de 10? Entenda como Botafogo pode usar o jogador como opção a Montoro,4,-0.05234589704257453,0.056859518996365786
"Imprensa internacional repercute ""revolução"" de Ancelotti na Seleção",0,-0.047981350132890954,-0.1818986974326695
"Abel diz ficar triste sem atletas do Palmeiras na Seleção, mas valoriza base e conversa com Ancelotti",4,-0.019213088236005826,-0.1855698299968607
"Giay exalta Abel por boa fase no Palmeiras e sonha com chance na Argentina: ""Todo jogador quer""",4,0.10113585297564158,-0.1316862225141001
"Rival do Flamengo na Libertadores é destaque em jornal espanhol: ""Revoluciona a América do Sul""",9,0.07774130145365053,-0.012577717191085637
Samuel Lino coroa auge pelo Flamengo com convocação e está a dois gols de ano mais artilheiro,9,0.03372842485284585,-0.07724725399135353
Millán cresce ao lado de Thiago Silva e acirra disputa por vaga na defesa do Fluminense,9,-0.0036992187591574554,0.003586721079332853
Gabriel Jesus alcança Rivaldo em lista de brasileiros com mais gols na Champions League,3,-0.009735012172954848,-0.028198057197598717
"Avaí anuncia a contratação de Rildo, ex-Grêmio",5,-0.08838782087824394,-0.053817389816368584
Da falência na 4ª divisão da Itália ao luxo na Champions: entenda o projeto que transformou o Como,8,-0.08499796553036724,-0.03962469646006041
"Atuações do Corinthians: Garro dá assistência, e Kaio César decide na Libertadores; dê suas notas",2,0.3981450826329316,0.2338290357401398
"Investigado pela Polícia, Julio Casares é expulso do São Paulo",5,-0.08619940655432291,-0.10783713606486746
Palmeiras inicia preparação para clássico contra São Paulo com desfalques e um retorno,4,0.07316398836296498,-0.14103462308368925
"Versatilidade, bola parada e finalização: como Lescano pode ajudar Pedro Emanuel no Vasco",1,-0.17554159699168903,0.18867027094951874
"Raphinha diz que já esperava ausência na Bola de Ouro: ""Não me surpreendeu nem um pouco""",3,-0.04887272207401134,-0.06116579248577023
Gómez desfalca o Palmeiras contra a LDU no Equador pela Libertadores,4,0.13515204435730022,-0.06380085474784976
Estudiantes x Corinthians: cotovelada deixa Gabriel Paulista com galo na testa; veja o vídeo,2,0.4485826596575199,0.28835812719947934
Danilo volta a ser convocado para a Seleção em meio a críticas no Botafogo,6,-0.11024957224648865,-0.06888264534280514
Morre o jornalista Claudio Carsughi,0,-0.05491246872482562,-0.07678935222901853
"Pedro e Samuel Lino, do Flamengo, comemoram convocação para Seleção; veja",0,-0.016564006295321516,-0.20280884534783394
Cuiabá volta a vencer por três gols em competição nacional após dois anos,7,0.013614146854228735,-0.045194359046046025
"Ex-Grêmio, Kaick vive ascensão na MLS com dois gols seguidos e titularidade",9,-0.04523236418881591,-0.07831401715467312
"Deyverson agradece carinho e sonha com retorno ao Palmeiras: ""Terminar a carreira aqui""",4,0.0793764785813338,-0.1310978835802692
Presidente do Avaí fala sobre últimos dias do mercado aberto e explica trâmites da SAF,5,-0.04578282105913288,-0.023867220771256904
"Jornal: Vini Jr. recebeu aviso de que ganharia a Bola de Ouro de 2024, vencida por Rodri; entenda",6,-0.03301335330333212,-0.022216532912009545
"Kaio César admite incômodo com atrasos no Corinthians, mas diz: ""Não pode pensar em dinheiro""",2,0.4246091351347604,0.2753615180878203
"Lescano diz que já pode estrear pelo Vasco e se apresenta à torcida: ""Gosto de fazer gols""",1,-0.1868251627340935,0.21363165836987127
"Entenda o desgaste entre Tottenham e Richarlison, alvo do Vasco",1,-0.45344605750318895,0.5281919422909754
"Pelo Cruzeiro, Matheus Pereira atinge temporada mais artilheira da carreira; veja números",6,-0.027130701851653373,-0.025887118475262812
"Zagueiro Jair Cunha celebra primeira convocação para a Seleção: ""Sonho de uma vida""",0,-0.11107750136982583,-0.17894160027492437
Atacante sul-africano do Fluminense é convocado para a seleção sub-20,6,-0.01856941388377852,-0.04632140380594501
"França retira apoio à reeleição de Infantino e cita ""confiança quebrada""",8,-0.07960024835483534,-0.029669326770164362
São Paulo atrasa também salários em carteira e não dá previsão de pagamento aos jogadores,5,-0.07418335988445592,-0.10815347498281626
Santos 2x0 Atlético-MG: assista aos melhores momentos,9,0.10036840555911535,-0.032344167440719516
Al-Ahli recusa investidas por Matheus Gonçalves e frustra Botafogo,1,-0.28425424076448613,0.17639790948202466
De Paul e Lewandowski batem boca e trocam empurrões na MLS; veja vídeo,3,0.004021983807160759,-0.020641063501300957
"Diniz elogia mudança de postura do Corinthians na Libertadores: ""É o que a torcida merece""",2,0.44956130577973674,0.2809845811649487
Athletico e Coritiba voltam a ter jogadores convocados à Seleção juntos depois de 85 anos,6,-0.054167473527788945,-0.17318960739859512
Anderson Conceição ganha espaço no Figueirense e mira reação na Copa SC,7,-0.004604145840611807,-0.07359202283918728
Chuva atinge tribuna de imprensa do Camp Nou durante jogo do Barcelona na Champions; veja,3,-0.05130286253849136,-0.05452678215071564
Botafogo anuncia contratação de Ziyech,1,-0.16105758373692747,0.0396100807984804
Manchester United x Sabah na Champions League: onde assistir ao vivo e horário,3,-0.06130310629557877,-0.00482399998163189
Deco nega que Barcelona tenha pedido a Julián Álvarez para forçar saída do Atlético de Madrid,3,-0.08415214432877832,0.0007305759733041444
"Análise: Palmeiras cria mais para vencer e melhora, mas vantagem mínima no placar ainda preocupa",4,0.16653468107380703,-0.09963120644137516
Bragantino goleia Cruzeiro por 8 a 1 pelo Brasileirão Sub-17,6,0.012739578493443664,-0.058981656109000094
Auxiliar do Fluminense viraliza com gesto para chamar jogadores no aquecimento; veja,2,0.014359927166101592,0.028259173065887638
"Zico opina sobre convocação e elogia Pedro, do Flamengo: ""Melhor centroavante do Brasil""",0,-0.011343355739827077,-0.18280367475808945
Volta Redonda chega a cinco jogadores emprestados a times da Série B,3,-0.016245810718587977,-0.025982654998866192
Flamengo busca contra o Independiente del Valle sequência inédita de vitórias na altitude,9,0.12040307123031584,-0.04099774952288272
Richarlison entrará com pedido de rescisão com Tottenham para assinar com o Vasco,1,-0.4811235020202897,0.5713276627804736
"Com Estêvão de titular, Chelsea vence de virada e avança na Copa da Liga Inglesa",3,0.018168470804520134,-0.014224509607994476
Quem foram os destaques do São Paulo no Mundial Sub-17,5,-0.044109746012110575,-0.15538363477087386
Luciano tem edema na coxa e deve desfalcar o São Paulo no Choque-Rei,5,-0.017402462864226597,-0.12885581152607076
"Scarpa ativa modo sincero em derrota do Atlético-MG para o Santos: ""Ficou barato""",2,0.1137408393255459,0.03112145172177635
"Avaí parabeniza os 50 anos de Guga Kuerten, torcedor símbolo do clube",5,-0.05384416738616743,-0.031067978481412663
"Domínguez reconhece erros do Atlético-MG, mas vê vaga aberta na Sul-Americana: ""Com vida""",2,0.08326469068761223,0.03711279263022367
"Tottenham recusa proposta do Vasco, que insiste na contratação de Richarlison",1,-0.4604314550267441,0.5157827363597993
"Independiente del Valle x Flamengo: onde assistir ao vivo, horário e escalações",9,0.16865893543111313,0.024337236492437218
Coritiba x Athletico: Athletiba já tem mais de 30 mil ingressos ocupados no Couto Pereira,8,-0.01658839581792367,-0.08274906864304946
Alan Lescano é regularizado no BID e pode estrear pelo Vasco contra o Grêmio,1,-0.3068621283089954,0.3003498869925522
"Ex-Atlético-MG, Alisson estreia na Champions pelo Shakhtar Donetsk",3,-0.043958216690059296,-0.033735767427755844
Cristiano Ronaldo marca em vitória do Al-Nassr e fica a 21 gols do milésimo,9,0.01707387419041486,-0.03650536270306384
Justiça condena Cruzeiro a indenizar jogadora após grave lesão; entenda o caso,6,-0.028179278534140702,-0.041655830457226393
Sorteio dos mandos da semifinal da Copa do Brasil 2026: veja onde assistir ao vivo,7,-0.11988478995018202,-0.17338113239803635
"Abel admite erro em entrevista e manda recado à torcida: ""Ninguém é maior do que o Palmeiras""",4,0.0804883178804344,-0.16918521894208946
Atlético-MG x Cruzeiro: Alexsander é suspenso por ofensas a Kaio Jorge em sala antidoping,6,0.021247630284559282,-0.007251538208514998
"Meia do Atlético-MG presenteia Neymar e manda recado: ""Tô bolado contigo""",2,0.0693988490051532,0.020038552000537252
Liverpool lidera ranking de elencos mais caros do mundo; veja lista,8,-0.1489366364439934,0.040153439530623614
"Admar mantém esperança na contratação de Richarlison: ""Viria mudar o patamar do Vasco""",1,-0.44758354522786986,0.48478615324233676
Final única da Copa do Brasil 2026 será em Brasília,7,-0.08086732923005749,-0.17080707167677794
"Matheuzinho, Hugo e Bidon festejam convocação para a Seleção: ""Nunca imaginei""",2,0.14375093460546293,-0.03212660859785862
Manchester City lança identidade visual exclusiva para o time feminino,8,-0.0965898215466363,0.007646696033221032
Final única da Copa do Brasil: veja data e local do jogo,7,-0.09296643068949338,-0.17073261580408713
