titulo,cluster,PCA1,PCA2,PCA3
Barra elimina o Internacional na primeira fase da Copa do Brasil Sub-20,7,-0.04458901926577312,-0.1884603626915344,-0.2640046492187752
"Diniz elogia Corinthians, mas pede atenção com o Estudiantes na volta: ""Sabe jogar fora de casa""",2,0.5539146214657287,0.3287696100673135,-0.07408174998277745
"Nem Fábio, nem Rafael: veja último goleiro do Cruzeiro convocado para Seleção antes de Otávio",6,-0.04709464007277321,-0.1315190326043767,-0.07019994737837223
Nicolas passa por cirurgia e deve ficar no mínimo três meses afastado do São Paulo,5,-0.062388803194232324,-0.10616593793054488,-0.010042654018455837
Criciúma bate o Cascavel e garante classificação na Copa do Brasil Sub-20,7,-0.04588353909081157,-0.17381734233474028,-0.2497291382146324
Bayern de Munique x Bodo/Glimt na Champions League: onde assistir ao vivo e horário,3,-0.025010930798246726,0.0020480053705463535,0.007905283092019127
"Em bate-boca com Neymar, torcedor do Atlético-MG avisa: ""Vai ter jogo de volta""; veja discussão",2,0.05418025143239821,0.0004100355667137162,-0.0383146137568622
São Paulo x Santo Antônio-MS na Copa do Brasil Sub-20: onde assistir ao vivo e horário,7,-0.029985926653126275,-0.1306136073184978,-0.12878419046076764
Cano tem suspeita de lesão e vira dúvida no Fluminense,9,0.07827308776651794,0.012246640686433876,0.02980356656479308
"Haaland se rende a jovem de 18 anos de R$ 600 milhões apontado como ""novo Rodri"": ""Uma joia""",8,-0.12498043479517712,0.028459789516208336,0.010598831523985724
"Capitão do Barcelona, Raphinha revela conexão especial com Lamine Yamal: ""Sei quando ele sai da partida""",3,-0.03611390198576564,-0.0724297509739457,0.04994674198328986
Análise: Corinthians volta vivo com empate em jogo que pareceu mais difícil do que foi,2,0.49720021758475924,0.32332432732309246,-0.06613895694491813
Operário-PR supera a Chapecoense nos pênaltis e avança na Copa do Brasil Sub-20,7,-0.042593605269461335,-0.16285494130327277,-0.2819587513721496
Raphinha tem início mais goleador no Barcelona em quase 70 anos,3,-0.0735026926156242,-0.06967880087116551,0.037310213412412654
Escalação do Flamengo: Jardim avalia desgaste e prepara equipe para encarar o Del Valle na altitude,9,0.1487447345558969,0.02375728021872792,-0.06316000744056152
"Portuguesa acerta a contratação do atacante Romarinho, ex-Corinthians",2,0.03496382033224398,0.0516158483770924,-0.017273473104627308
Olho neles: Del Valle tem cinco remanescentes de time campeão contra o Flamengo; saiba quem são,9,0.16321641707392012,0.06320169346652697,-0.0313454467994733
Análise: Atlético-MG desmorona no 2º tempo e se complica por vaga na semi da Sul-Americana,2,0.14499644170229897,0.070288770308826,-0.016754323169603656
